City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
253,high rock,26.6208,-78.2833,25.59,81,9,5.69,BS,1699675293
254,toma,12.7667,-2.8833,25.4,21,100,2.62,BF,1699675293
255,sisimiut,66.9395,-53.6735,-7.83,78,73,5.89,GL,1699675293
256,curaca,-8.9903,-39.9094,24.52,60,0,9.07,BR,1699675293
257,chita,52.0333,113.55,-6.06,53,49,3.0,RU,1699675293
258,guijuelo,40.5576,-5.6707,12.58,97,100,4.33,ES,1699675294
259,jakobstad,63.6749,22.7026,-1.71,85,100,7.55,FI,1699675294
260,benghazi,32.1167,20.0667,21.61,54,0,4.37,LY,1699675294
261,novaya igirma,57.1334,103.9112,-7.94,59,9,1.58,RU,1699675294
262,lebu,-37.6167,-73.65,10.85,89,100,9.94,CL,1699675059
263,kasongo-lunda,-6.4667,16.8167,21.08,99,100,0.45,CD,1699675295
264,flekkefjord,58.2971,6.6607,4.41,84,59,1.63,NO,1699675295
265,anbyon-up,39.0425,127.5239,6.29,30,35,1.8,KP,1699675295
266,slavyanka,42.8633,131.3847,-0.2,35,4,3.74,RU,1699675295
267,college,64.8569,-147.8028,-9.18,92,100,2.06,US,1699675079
268,san felipe,10.3399,-68.7425,23.13,98,91,0.46,VE,1699675296
269,guangming,45.3333,122.7833,-2.29,31,0,3.69,CN,1699675296
270,balikpapan,-1.2675,116.8289,30.45,63,78,3.13,ID,1699675297
271,badger,64.8,-147.5333,-9.45,92,100,2.06,US,1699675297
272,dryden,49.7833,-92.7503,-2.84,86,100,1.03,CA,1699675298
273,chiniot,31.72,72.9789,20.32,58,0,1.91,PK,1699675040
274,warri,5.5167,5.75,24.37,95,96,0.78,NG,1699675199
275,laguilayan,6.6525,124.5211,31.42,67,42,1.43,PH,1699675298
276,grande prairie,55.1667,-118.8027,3.1,48,100,4.63,CA,1699675076
277,thaba-tseka,-29.522,28.6084,15.92,37,86,2.14,LS,1699675298
278,oskarshamn,57.2645,16.4484,6.12,92,95,3.2,SE,1699675299
279,bac kan,22.1333,105.8333,28.98,65,74,1.69,VN,1699675299
280,kittila,67.6647,24.8936,-9.92,92,0,1.03,FI,1699675299
281,dunedin,-45.8742,170.5036,15.45,64,1,5.36,NZ,1699675299
282,meadow lakes,61.6247,-149.6011,-1.31,94,100,0.0,US,1699675299
283,novyy urgal,51.0736,132.5642,-8.87,67,67,0.33,RU,1699675299
284,cabo san lucas,22.8909,-109.9124,27.09,73,7,0.45,MX,1699675154
285,haiku-pauwela,20.9219,-156.3051,25.02,71,16,4.47,US,1699675300
286,tierra buena,39.1488,-121.6669,14.25,62,0,2.06,US,1699675300
287,mutuali,-14.8706,37.0044,22.37,82,85,0.97,MZ,1699675301
288,zakamensk,50.3741,103.2863,-6.28,57,3,1.51,RU,1699675044
289,yelizovo,53.1873,158.3805,2.08,100,75,1.0,RU,1699675301
290,lata,40.1629,-8.3327,17.26,99,100,2.48,PT,1699675301
291,puerto santa,-8.9906,-78.6456,18.32,89,20,2.7,PE,1699675277
292,carbonear,47.7332,-53.2148,2.57,92,99,9.55,CA,1699675301
293,souillac,-20.5167,57.5167,25.21,83,40,1.03,MU,1699675301
294,barcelos,41.5388,-8.6151,17.18,98,100,4.19,PT,1699675302
295,dudinka,69.4058,86.1778,-5.21,95,100,8.49,RU,1699675302
296,kantang,7.4054,99.5156,30.05,79,40,0.51,TH,1699675302
297,altai,46.3722,96.2583,-8.98,73,13,0.79,MN,1699675302
298,northam,51.0333,-4.2167,10.34,86,67,5.39,GB,1699675302
299,stephenville,32.2207,-98.2023,13.07,86,100,1.54,US,1699675140
300,wanning,18.8003,110.3967,28.6,74,22,3.79,CN,1699675302
301,faya-largeau,17.9257,19.1043,24.25,26,89,5.88,TD,1699675303
302,pasni,25.2631,63.471,26.23,35,1,3.31,PK,1699675303
303,patos,-7.0244,-37.28,24.55,61,0,2.67,BR,1699675253
304,ocean shores,46.9737,-124.1563,11.68,96,100,7.2,US,1699675303
305,amasra,41.7463,32.3863,15.54,66,94,3.78,TR,1699675303
306,riversdale,18.1659,-76.9642,27.92,93,9,0.68,JM,1699675303
307,morant bay,17.8815,-76.4093,28.79,85,7,4.48,JM,1699675304
308,rio grande,-32.035,-52.0986,18.3,92,95,9.02,BR,1699675304
